,game,sb
0,ANA201704070,1
1,ANA201704080,0
2,ANA201704090,0
3,ANA201704110,0
4,ANA201704120,0
5,ANA201704130,2
6,ANA201704210,0
7,ANA201704220,1
8,ANA201704230,1
9,ANA201704240,1
10,ANA201704250,1
11,ANA201704260,1
12,ANA201704270,0
13,ANA201705050,0
14,ANA201705060,0
15,ANA201705070,1
16,ANA201705110,0
17,ANA201705120,1
18,ANA201705130,1
19,ANA201705140,5
20,ANA201705150,0
21,ANA201705160,2
22,ANA201705170,0
23,ANA201705290,3
24,ANA201705300,1
25,ANA201705310,2
26,ANA201706010,0
27,ANA201706020,1
28,ANA201706030,0
29,ANA201706040,0
30,ANA201706120,1
31,ANA201706130,2
32,ANA201706140,2
33,ANA201706150,0
34,ANA201706160,0
35,ANA201706170,1
36,ANA201706180,3
37,ANA201706280,0
38,ANA201706290,0
39,ANA201706300,0
40,ANA201707010,1
41,ANA201707020,1
42,ANA201707140,1
43,ANA201707150,0
44,ANA201707160,0
45,ANA201707180,0
46,ANA201707190,1
47,ANA201707210,0
48,ANA201707220,2
49,ANA201707230,0
50,ANA201708010,4
51,ANA201708020,1
52,ANA201708030,2
53,ANA201708040,1
54,ANA201708050,0
55,ANA201708060,2
56,ANA201708070,1
57,ANA201708080,1
58,ANA201708090,2
59,ANA201708210,3
60,ANA201708220,1
61,ANA201708230,1
62,ANA201708240,1
63,ANA201708250,1
64,ANA201708260,1
65,ANA201708270,0
66,ANA201708280,0
67,ANA201708290,0
68,ANA201708300,0
69,ANA201709120,0
70,ANA201709130,0
71,ANA201709140,1
72,ANA201709150,1
73,ANA201709160,0
74,ANA201709170,1
75,ANA201709190,0
76,ANA201709200,0
77,ANA201709210,0
78,ANA201709290,2
79,ANA201709300,1
80,ANA201710010,0
